frame,captured_ns,processed_ns,shift_x,shift_y,quality,command_x,command_y,dropped_frames
2,111344618047541,111344618612666,9.06905e-10,1.17363e-05,12.5993,60,60,0
4,111344618525000,111344619157125,9.06905e-10,1.17363e-05,12.5993,60,60,1
6,111344619030375,111344619749083,0.996724,-2.8842e-07,12.5993,66.5159,54.5166,2
8,111344619538125,111344620310708,0.996724,-2.8842e-07,12.5993,60,59.9988,4
11,111344620292250,111344620854083,0.996724,-2.8842e-07,12.5993,66.5159,54.5178,5
13,111344620780666,111344621398375,1.99401,-2.39415e-05,12.5999,73.0319,49.0317,6
15,111344621280416,111344621985000,1.99401,-2.39415e-05,12.5999,66.5159,54.5158,7
17,111344621780375,111344622543875,1.99401,-2.39415e-05,12.5999,73.0318,49.033,9
19,111344622283041,111344623135833,1.99401,-2.39415e-05,12.5999,66.516,54.5148,10
22,111344623038083,111344623719041,2.9915,-3.57791e-05,12.6011,73.0319,49.0302,11
24,111344623538625,111344624227333,2.9915,-3.57791e-05,12.6011,66.516,54.5133,12
26,111344624029625,111344624744333,2.9915,-3.57791e-05,12.6011,73.0319,49.0312,13
28,111344624528041,111344625257666,3.9889,-7.10587e-05,12.603,79.548,43.5418,14
30,111344625025291,111344625774500,3.9889,-7.10587e-05,12.603,73.032,49.0283,15
32,111344625525583,111344626351375,3.9889,-7.10587e-05,12.603,79.548,43.5438,17
35,111344626283541,111344626920583,3.9889,-7.10587e-05,12.603,73.0321,49.0262,18
37,111344626782250,111344627500458,4.98596,-0.994056,12.6024,80.7087,13.4706,19
39,111344627282833,111344628065250,4.98596,-0.994056,12.6024,73.0321,49.0262,21
42,111344628035958,111344628632916,4.98596,-0.994056,12.6024,80.7087,13.4706,22
44,111344628534791,111344629182833,4.98596,-0.994056,12.6024,73.0321,49.0262,23
46,111344629030500,111344629722500,5.98241,-0.99408,12.6054,80.7087,13.4706,24
48,111344629533291,111344630288583,5.98241,-0.99408,12.6054,73.0321,49.0262,26
50,111344630029583,111344630840583,5.98241,-0.99408,12.6054,80.7087,13.4706,27
53,111344630780541,111344631396333,5.98241,-0.99408,12.6054,73.3094,41.8413,28
55,111344631280583,111344631948000,5.98241,-0.99408,12.6054,80.4988,18.9105,29
57,111344631782041,111344632491875,6.97826,-0.994104,12.6089,86.5716,24.906,30
59,111344632282416,111344633033666,6.97826,-0.994104,12.6089,80.4132,21.1271,32
61,111344632780166,111344633583791,6.97826,-0.994104,12.6089,86.7118,21.2731,33
64,111344633535791,111344634130000,6.97827,-1.98905,12.6064,81.357,-3.32388,34
66,111344634034500,111344634690708,6.97827,-1.98905,12.6064,86.7118,21.2731,35
68,111344634531666,111344635247541,6.97827,-1.98905,12.6064,81.357,-3.32388,36
70,111344635031416,111344635795208,6.97827,-1.98905,12.6064,86.7118,21.2731,38
73,111344635780083,111344636344875,7.97356,-1.98906,12.6103,94.3885,-14.2825,39
75,111344636279666,111344636909458,7.97356,-1.98906,12.6103,86.7118,21.2731,40
77,111344636778708,111344637459875,7.97356,-1.98906,12.6103,94.3885,-14.2825,41
79,111344637279166,111344638017375,7.97356,-1.98906,12.6103,86.8988,16.4298,42
81,111344637779333,111344638569375,7.97356,-1.98906,12.6103,94.1926,-9.20734,44
84,111344638529791,111344639131333,7.97355,-2.98464,12.6083,88.8377,-20,45
86,111344639031541,111344639745333,7.97355,-2.98464,12.6083,94.1926,4.59699,46
88,111344639529416,111344640350458,7.97355,-2.98464,12.6083,91.0804,-20,48
91,111344640282833,111344640934916,7.97355,-2.98464,12.6083,94.1606,6.5098,49
93,111344640784250,111344641568250,7.97355,-2.98464,12.6083,94.0652,-20,51
96,111344641533125,111344642149291,7.97355,-2.98464,12.6083,95.3314,8.03532,52
98,111344642028625,111344642688875,7.97355,-2.98464,12.6083,96.5324,-20,53
100,111344642526375,111344643233541,7.97356,-3.98066,12.6068,99.4509,-20,54
102,111344643030250,111344643784333,7.97356,-3.98066,12.6068,98.8149,9.63487,56
104,111344643529041,111344644362125,7.97356,-3.98066,12.6068,101.384,-20,57
107,111344644280541,111344644930875,7.97356,-3.98066,12.6068,101.039,9.38991,58
109,111344644782833,111344645492583,7.97356,-3.98066,12.6068,103.399,-20,59
111,111344645282541,111344646053625,7.97356,-3.98066,12.6068,103.163,9.29886,61
114,111344646028583,111344646601791,7.97356,-3.98066,12.6068,105.432,-20,62
116,111344646531708,111344647148458,6.97825,-4.97711,12.602,100.077,-20,63
118,111344647031000,111344647712666,6.97825,-4.97711,12.602,105.432,4.59699,64
120,111344647531166,111344648288000,6.97825,-4.97711,12.602,100.077,-20,66
122,111344648030791,111344648849125,6.97825,-4.97711,12.602,105.432,4.59699,67
125,111344648781000,111344649394416,6.97825,-4.97711,12.602,100.077,-20,68
127,111344649280791,111344649951958,6.97825,-4.97711,12.602,105.432,4.59699,69
